Lat,lon,elevation,PercentClear,NE,SE,SW,NW
21.73041667,86.28041667,1113,97,25,22.2,25,25
21.73041667,86.28041667,1113,97,25,22.2,25,25
21.72791667,86.28208333,1114,97,25,22.2,25,25
21.73041667,86.28041667,1113,97,25,22.2,25,25
22.04708333,86.29291667,925,91,25,19.1,22.5,24.3
22.04708333,86.29291667,925,91,25,19.1,22.5,24.3
21.72125,86.31958333,1080,91,23.8,19.2,24.9,23.1
21.72208333,86.31958333,1079,91,23.8,19.1,24.9,23
21.85875,86.31958333,1078,91,25,16.4,24.2,25
21.84375,86.33041667,1137,94,21.7,22.6,24.9,25
21.69875,86.33458333,1083,90,24.3,17.6,24.2,23.8
21.84458333,86.33375,1151,98,25,23.4,24.9,25
21.69958333,86.34375,1095,93,25,19.8,23.2,24.5
21.24125,85.64375,960,92,25,20,22.3,24.6
21.24041667,85.65041667,974,92,25,20.3,22.3,24.7
21.75458333,86.35875,1119,97,25,23.4,24,24.7
21.75541667,86.35875,1117,97,25,23.4,24,24.6
21.76958333,86.36208333,1103,94,25,21.7,22.9,24.4
21.24541667,85.65791667,962,90,24.8,18.9,21.7,24.7
21.92541667,86.35708333,994,90,25,21.2,18.5,25
21.76875,86.36708333,1115,97,25,23.5,24,24.6
21.77375,86.36875,1107,97,25,23.5,23.7,24.4
21.78291667,86.37041667,1102,95,25,23.1,23,24.3
21.76375,86.38041667,1114,97,25,23.5,23.9,24.6
21.76458333,86.38041667,1115,97,25,23.5,24,24.7
21.78458333,86.37208333,1097,94,25,22.8,22,24.3
21.69875,86.33458333,1083,90,24.3,17.6,24.2,23.8
21.76375,86.38125,1116,97,25,23.5,24,24.7
21.76375,86.38125,1116,97,25,23.5,24,24.7
21.63291667,86.34375,1166,99,25,23.5,25,25
21.69958333,86.34375,1095,93,25,19.8,23.2,24.5
21.23708333,85.69041667,1046,94,25,21.6,22.2,24.9
21.63375,86.34875,1148,91,23.5,23.5,21.8,22.2
21.64791667,86.35541667,1163,93,19.9,23.5,25,25
21.23708333,85.69041667,1046,94,25,21.6,22.2,24.9
21.63875,86.36125,1154,94,25,23.5,24.5,20.9
21.64041667,86.36125,1157,94,25,23.5,25,20.5
21.64875,86.35875,1181,99,25,23.5,25,25
21.25125,85.70208333,1000,90,25,21.8,18.7,24.8
21.63875,86.37125,1142,91,25,23.5,24.3,18.1
21.63958333,86.37125,1147,94,25,23.5,24.5,21
21.25041667,85.70708333,990,90,25,21.8,18.8,24.8
21.95541667,86.43041667,1004,94,25,23.5,20.7,24.9
21.95791667,86.43041667,1013,95,25,23.5,21.3,24.9
21.63958333,86.37208333,1139,90,25,23.5,23.8,17.5
21.19541667,85.72375,973,90,25,21,21.5,22.4
